V1,V2
88,134
88,136
88,137
88,144
88,147
88,151
88,161
88,178
88,226
88,232
88,238
88,242
88,245
88,266
88,273
89,105
89,107
89,116
89,127
89,147
89,156
89,171
89,172
89,183
89,189
90,104
90,105
90,109
90,113
90,123
90,131
90,147
90,161
90,245
91,98
91,192
91,198
91,233
92,105
92,107
92,112
92,115
92,116
92,147
92,153
92,155
92,183
93,117
93,125
93,147
93,163
93,166
93,169
94,194
96,104
96,106
96,183
96,231
97,106
97,230
97,256
98,198
98,233
99,123
99,135
99,143
99,153
99,155
99,192
99,205
99,216
99,220
99,246
99,253
99,272
101,105
101,142
101,147
101,226
102,120
102,143
102,147
102,269
103,127
103,178
103,186
104,112
104,126
104,147
104,161
104,183
104,231
105,108
105,113
105,116
105,118
105,119
105,147
105,171
105,172
105,189
105,211
106,159
106,230
106,234
106,240
107,127
107,147
107,153
107,155
107,183
107,232
108,119
108,130
108,141
108,147
108,154
108,175
108,226
109,118
109,125
109,128
109,147
109,162
109,192
109,210
109,224
109,255
110,136
110,144
110,151
110,178
111,124
111,147
111,191
111,228
111,257
111,262
111,271
112,115
112,126
112,147
112,161
112,182
113,134
113,147
113,174
113,197
114,147
114,197
114,214
114,226
114,274
114,275
115,142
115,147
115,160
115,189
116,147
116,153
116,171
116,172
116,189
116,246
117,125
117,147
117,169
117,193
117,222
118,147
118,196
118,211
119,128
119,147
119,181
119,210
119,246
120,147
120,168
121,147
121,246
122,147
122,220
122,264
123,131
123,150
123,167
123,185
123,245
123,253
124,145
124,283
124,284
125,128
125,147
125,162
125,169
125,192
125,224
125,255
126,147
126,161
126,241
127,178
127,183
128,139
128,147
128,153
128,162
128,192
128,210
128,224
128,246
128,255
129,147
129,209
130,138
130,141
130,197
130,208
130,226
131,141
131,146
131,177
131,245
132,141
132,175
132,186
132,221
133,147
133,252
134,242
134,266
135,139
135,147
135,152
135,153
135,166
135,182
135,183
135,190
135,198
135,216
135,220
135,272
136,144
136,151
136,178
137,140
137,169
137,273
138,174
138,197
139,147
139,152
139,153
139,162
139,166
139,183
139,210
140,149
140,157
140,164
140,165
140,167
140,270
141,154
141,175
141,177
141,208
142,147
142,160
142,189
142,226
143,155
143,218
143,269
144,151
144,170
144,175
144,178
144,197
144,198
144,226
144,232
144,236
144,238
144,268
145,283
145,284
146,155
147,152
147,153
147,156
147,160
147,161
147,166
147,169
147,171
147,172
147,174
147,176
147,179
147,180
147,181
147,183
147,187
147,189
147,192
147,196
147,205
147,208
147,210
147,211
147,213
147,214
147,218
147,220
147,227
147,231
147,235
147,239
147,241
147,246
147,257
147,259
147,260
147,263
147,264
147,270
147,274
147,275
147,276
148,260
149,157
149,164
149,165
150,185
151,178
151,227
151,232
152,153
152,166
152,183
152,187
152,192
153,155
153,166
153,183
153,209
153,210
153,246
154,174
154,175
155,183
157,224
157,278
160,189
162,192
162,210
162,224
162,255
164,165
164,167
165,167
166,183
168,171
168,172
168,220
169,273
170,175
170,197
171,172
171,189
172,189
173,184
173,209
173,227
173,267
173,277
174,197
175,197
175,219
175,221
176,180
176,212
176,246
176,258
176,261
176,280
177,230
177,243
177,249
179,189
179,208
179,214
179,231
179,270
180,181
180,215
181,281
182,186
182,190
183,231
184,198
184,200
184,227
184,238
184,268
185,187
187,192
191,228
191,262
191,271
192,198
192,205
192,224
192,255
194,257
195,229
195,279
197,214
197,226
198,200
198,238
199,238
199,248
199,251
199,252
200,238
201,224
202,207
203,204
205,239
208,214
208,270
209,216
209,252
209,277
210,246
210,255
212,246
212,258
212,261
212,269
213,227
213,239
214,226
214,270
216,220
216,272
217,273
218,245
220,264
220,272
223,237
224,225
224,226
224,255
224,278
225,278
226,231
226,232
229,252
230,243
230,249
233,237
234,240
235,238
236,268
238,248
238,251
238,252
239,244
242,266
243,249
248,251
248,252
250,254
251,252
256,278
258,261
259,260
262,271
265,278
266,268
274,275
283,284
